lesson_id;day_number;lesson_number;lesson_week;lesson_name;teacher_name;lesson_type;lesson_class;time_start;time_end;online;choice
1;1;1;1;Цифрова обробка сигналів;Заворотний Віктор Федорович;Прак;;8:30:00;10:05:00;true;true
2;1;2;1;Об'єктно-орієнтоване програмування;Малюта С.;Прак;;10:25:00;12:00:00;true;true
3;1;3;1;Технологічні основи наноелектроніки;Орлов Анатолій Тимофійович;Прак;;12:20:00;13:55:00;true;true
4;1;4;1;Технологія наноматеріалів та наностуктур;Воронько Андрій О.;Прак;;14:15:00;15:50:00;true;true
41;1;5;1;Сучасні напівпровідникові матеріали;Осінов С. М.;Прак;;16:10:00;17:45:00;true;true
6;2;1;1;Схемотехніка. Частина 1. Аналогова схемотехніка;Карплюк Євгеній Сергійович, Порєва Ганна Сергіївна;Лек;;8:30:00;10:05:00;true;false
7;2;2;1;Підприємницьке право;Новошицька Валерія Ігорівна;Лек;;10:25:00;12:00:00;true;false
8;2;3;1;Інтелектуальні інформаційні системи;Заворотний Віктор Федорович;Лек;;12:20:00;13:55:00;true;true
9;2;4;1;Функціональні діелектрики в електроніці;Поплавко Юрій Михайлович;Лек;;14:15:00;15:50:00;true;true
10;2;5;1;Моделювання в електроніці;Верцанова Олена Вікторівна;Лек;;16:10:00;17:45:00;true;true
11;3;1;1;Сучасні напівпровідникові матеріали;Обухова Тетяна Юріївна;Лек;;8:30:00;10:05:00;true;true
12;3;2;1;Структури даних;Татарчук Дмитро Дмитрович;Лек;;10:25:00;12:00:00;true;true
13;3;3;1;Цифрова обробка сигналів;Заворотний Віктор Федорович;Лек;;12:20:00;13:55:00;true;true
14;3;4;1;Об'єктно-орієнтоване програмування;Татарчук Дмитро Дмитрович;Лек;;14:15:00;15:50:00;true;true
15;3;5;1;Основи мікро- та наносистемної техніки;Шевлякова Г. В.;Прак;;16:10:00;17:45:00;true;true
16;4;1;1;Іноземна мова професійного спрямування. Частина 1;Ситайло Наталія Миколаївна;Прак;;8:30:00;10:05:00;true;false
17;4;2;1;Основи мікро- та наносистемної техніки;Діденко Юрій Вікторович;Лек;;10:25:00;12:00:00;true;true
18;4;3;1;Інтелектуальні інформаційні системи;Заворотний Віктор Федорович;Прак;;12:20:00;13:55:00;true;true
19;4;4;1;Схемотехніка. Частина 1. Аналогова схемотехніка;Савін Костянтин Георгійович, Коваленко Олександр Сергійович;Лаб;;14:15:00;15:50:00;true;false
20;4;5;1;Підприємницьке право;Новошицька Валерія Ігорівна;Прак;;16:10:00;17:45:00;true;false
42;6;1;1;Технологія наноматеріалів та наностуктур;Вербицький Володимир Григорович;Лек;;8:30:00;10:05:00;true;true
23;1;1;2;Структури даних;Шевлякова Г. В.;Прак;;8:30:00;10:05:00;true;true
24;1;2;2;Функціональні діелектрики в електроніці;Поплавко Юрій Михайлович;Прак;;10:25:00;12:00:00;true;true
44;1;3;2;Схемотехніка. Частина 1. Аналогова схемотехніка;Голубєва Ірина Петрівна;Прак;;12:20:00;13:55:00;true;false
45;1;4;2;Схемотехніка. Частина 1. Аналогова схемотехніка;Голубєва Ірина Петрівна;Прак;;14:15:00;15:50:00;true;false
28;2;1;2;Схемотехніка. Частина 1. Аналогова схемотехніка;Карплюк Євгеній Сергійович, Порєва Ганна Сергіївна;Лек;;8:30:00;10:05:00;true;false
29;2;2;2;Інтелектуальні інформаційні системи;Заворотний Віктор Федорович;Лек;;10:25:00;12:00:00;true;true
30;2;3;2;Функціональні діелектрики в електроніці;Поплавко Юрій Михайлович;Лек;;12:20:00;13:55:00;true;true
31;2;4;2;Моделювання в електроніці;Верцанова Олена Вікторівна;Лек;;14:15:00;15:50:00;true;true
47;2;5;2;Моделювання в електроніці;Верцанова Олена Вікторівна;Прак;;16:10:00;17:45:00;true;true
32;3;1;2;Сучасні напівпровідникові матеріали;Обухова Тетяна Юріївна;Лек;;8:30:00;10:05:00;true;true
33;3;2;2;Структури даних;Татарчук Дмитро Дмитрович;Лек;;10:25:00;12:00:00;true;true
34;3;3;2;Цифрова обробка сигналів;Заворотний Віктор Федорович;Лек;;12:20:00;13:55:00;true;true
35;3;4;2;Об'єктно-орієнтоване програмування;Татарчук Дмитро Дмитрович;Лек;;14:15:00;15:50:00;true;true
36;4;1;2;Іноземна мова професійного спрямування. Частина 1;Ситайло Наталія Миколаївна;Прак;;8:30:00;10:05:00;true;false
37;4;2;2;Основи мікро- та наносистемної техніки;Діденко Юрій Вікторович;Лек;;10:25:00;12:00:00;true;true
38;4;3;2;Схемотехніка. Частина 1. Аналогова схемотехніка;Савін Костянтин Георгійович, Коваленко Олександр Сергійович;Лаб;;12:20:00;13:55:00;true;false
48;4;4;2;Технологічні основи наноелектроніки;Орлов Анатолій Тимофійович;Лек;;14:15:00;15:50:00;true;true
49;4;5;2;Технологічні основи наноелектроніки;Орлов Анатолій Тимофійович;Лек;;16:10:00;17:45:00;true;true
50;6;1;2;Технологія наноматеріалів та наностуктур;Вербицький Володимир Григорович;Лек;;8:30:00;10:05:00;true;true
