lesson_id,day_number,lesson_number,lesson_week,lesson_name,teacher_name,lesson_type,lesson_class,time_start,time_end,online,choice
1,1,1,1,Наноструктури в оптоелектроніці,Свєчніков Георгій Сергійович,Лек,-,08:30:00,10:05:00,true,true
2,1,2,1,Наноструктури в оптоелектроніці,Свєчніков Георгій Сергійович,Лек,-,10:25:00,12:00:00,true,true
3,1,3,1,Конструювання електронних приладів і пристроїв,Мачулянський Олександр Вікторович,Лек,-,12:20:00,13:55:00,true,true
4,1,4,1,Конструювання електронних приладів і пристроїв,Мачулянський Олександр Вікторович,Лек,-,14:15:00,15:50:00,true,true
5,1,5,1,Іноземна мова професійного спрямування-2,Ситайло Наталія Миколаївна,Прак,-,16:10:00,17:45:00,true,false
6,2,1,1,Методи дослідження матеріалів мікро- та наносистемної техніки,Малюта Сергій Васильович,Прак,-,08:30:00,10:05:00,true,true
7,2,2,1,Електроніка надвисоких частот,Малюта Сергій Васильович,Прак,-,10:25:00,12:00:00,true,true
8,2,3,1,Електроніка надвисоких частот,Татарчук Дмитро Дмитрович,Лек,-,12:20:00,13:55:00,true,true
9,2,4,1,Електроніка надвисоких частот,Татарчук Дмитро Дмитрович,Лек,-,14:15:00,15:50:00,true,true
10,2,5,1,Мікрохвильова техніка,Тимофєєв Володимир Іванович,Лаб,-,16:10:00,17:45:00,true,true
11,3,1,1,Конструювання електронних приладів і пристроїв,Мачулянський Олександр Вікторович,Лаб,-,08:30:00,10:05:00,true,true
12,3,2,1,Оптоелектроніка,Воронько А. О.,Лек,-,10:25:00,12:00:00,true,true
13,3,3,1,Оптоелектроніка,Воронько А. О.,Лек,-,12:20:00,13:55:00,true,true
14,3,4,1,Методи дослідження матеріалів мікро- та наносистемної техніки,Верцанова Олена Вікторівна,Лек,-,14:15:00,15:50:00,true,true
15,3,5,1,Методи дослідження матеріалів мікро- та наносистемної техніки,Верцанова Олена Вікторівна,Лек,-,16:10:00,17:45:00,true,true
16,4,1,1,Оптоелектроніка,Воронько А. О.,Лаб,-,08:30:00,10:05:00,true,true
17,4,1,1,Наноструктури в оптоелектроніці,Воронько А. О.,Лаб,-,10:25:00,12:00:00,true,true
18,4,3,1,Програмовані логічні інтегральні схеми,Діденко Юрій Вікторович,Лаб,-,12:20:00,13:55:00,true,true
19,4,4,1,Мікрохвильова техніка,Тимофєєв Володимир Іванович,Лек,-,14:15:00,15:50:00,true,true
20,4,5,1,Мікрохвильова техніка,Тимофєєв Володимир Іванович,Лек,-,16:10:00,17:45:00,true,true
21,5,1,1,Програмовані логічні інтегральні схеми,Діденко Юрій Вікторович,Лек,-,08:30:00,10:05:00,true,true
22,5,2,1,Програмовані логічні інтегральні схеми,Діденко Юрій Вікторович,Лек,-,10:25:00,12:00:00,true,true
23,5,3,1,Біомедичні сенсори,Коваль Вікторія Михайлівна,Лек,-,12:20:00,13:55:00,true,true
24,5,4,1,Біомедичні сенсори,Коваль Вікторія Михайлівна,Лек,-,14:15:00,15:50:00,true,true
25,5,5,1,Біомедичні сенсори,Коваль Вікторія Михайлівна,Лаб,-,16:10:00,17:45:00,true,true
26,1,1,2,Наноструктури в оптоелектроніці,Свєчніков Георгій Сергійович,Лек,-,08:30:00,10:05:00,true,true
27,1,2,2,Наноструктури в оптоелектроніці,Свєчніков Георгій Сергійович,Лек,-,10:25:00,12:00:00,true,true
28,1,3,2,Конструювання електронних приладів і пристроїв,Мачулянський Олександр Вікторович,Лек,-,12:20:00,13:55:00,true,true
29,1,4,2,Конструювання електронних приладів і пристроїв,Мачулянський Олександр Вікторович,Лек,-,14:15:00,15:50:00,true,true
